0,1,2,3,4
S.N.,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter
1,Prabhu Bank Ltd.,Sunrise Bank Ltd.,Himalayan Bank Ltd.,Agriculture Development Bank Ltd.
2,NIC Asia Bank Ltd.,NMB Bank Ltd.,MachhapuchchhreBank Ltd.,Siddhartha Bank Ltd.
3,Nepal SBI Bank Ltd.,Sanima Bank Ltd.,Mega Bank Ltd.,Nepal  Investment  Bank Ltd.
4,RastriyaBanijya Bank Ltd.,Everest Bank Ltd.,Nepal Bank Ltd.,Prime Commercial Bank Ltd.
5,Kumari Bank Ltd.,,,
