0,1,2,3,4,5
Rs. in BillionState-owned Commercial BanksNon State-owned Commercial BanksCommercial Banks (in Total),,,,,
,,FY 2021/22,FY 2022/23,FY 2023/24,
,State-owned Commercial Banks,104.05,102.69,102.55,
,Non State-owned CommercialBanks,588.85,604.61,611.17,
,Commercial Banks (in Total),692.9,707.3,713.72,
,,,,,
