0,1,2,3,4,5,6,7,8,9,10
700060005000400030002000Amount (Rs. in Billion)10000,FY 2019/20,,,,,,,FY 2021/22,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,FY 2020/21,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Liquid Assets,959,,,1167,,,,1239,,
Total Assets,"4,246",,,"5,223",,,,"5,999",,
Liquid Asset to Total Asset Ratio,22.59,,,22.34,,,,20.66,,
