date_bs,date_ad,PSP_Agents,Wallet_Users,ATM_Machines,Debit_Cards,Credit_Cards,Prepaid_Cards,Mobile_Banking_Customers,Internet_Banking_Customers,Branchless_Banking,RTGS_Participants,ConnectIPS_Users,ECC_Members,IPS_Members,RTGS_Count,ATM_Cash_Withdrawal_Count,ECC_Count,IPS_Count,ConnectIPS_Count,Debit_Card_Count,Credit_Card_Count,Prepaid_Card_Count,Internet_Banking_Count,Mobile_Banking_Count,Branchless_Banking_Count,Wallet_Count,QR_Count,POS_Count,Ecommerce_Count,Faster_Payment_Count,Cross_Border_QR_Count,Other_Retail_Count,RTGS_Value,ATM_Cash_Withdrawal_Value,ECC_Value,IPS_Value,ConnectIPS_Value,Debit_Card_Value,Credit_Card_Value,Prepaid_Card_Value,Internet_Banking_Value,Mobile_Banking_Value,Branchless_Banking_Value,Wallet_Value,QR_Value,POS_Value,Ecommerce_Value,Faster_Payment_Value,Cross_Border_QR_Value,Other_Retail_Value
2078 Asar,2021-06,9279,8885914,4325,8839855,192370,68265,14194839,1160321,1718,38,534615,60,103,59655,6919199,1440472,1164481,3204845,7465439,124243,17231,329523,13700993,59783,12515904,855566,635599,52115,0,0,0,3502057.163726248,64389.47,987787.728417202,299059.3867667914,237758.39804640997,66417.49,859.0214,73.04171,13831.56,73729.19,1308.869,12789.63070875,3650.75323664,2664.526,295.5496,0,0,0
2078 Saun,2021-07,9415,9253374,4329,9024565,193575,71473,14526356,1188914,1727,38,595307,60,102,54623,7362311,1216287,730275,2956967,8081818,161731,23919,340525,13099189,73340,13155501,1293349,837266,67891,0,0,0,2126131.7251022947,65377.27386900999,864738.5769954551,160638.58069485778,213375.46158616,68104.72361952999,1081.94050844,87.37833738999998,15170.67710309,72873.01795439,1499.09818503,14052.224943426001,5055.81520673,3510.198162159999,386.57043419,0,0,0
2078 Bhadau,2021-08,9699,9635888,4340,9570797,200482,78262,14872634,1210437,1740,38,655562,60,102,56167,8171367,1128439,1145630,3224175,8937593,171894,26964,301012,13241819,56383,13203496,1577561,898947,66137,0,0,0,2494635.1038137698,70131.52066012,766728.5691421045,168955.53593699768,232542.99266162998,73057.94539317001,1227.5724149999999,116.5041747,13503.688374809995,74309.81260438,1218.79876596,14426.8033182574,5856.60010842,3816.32623532,454.17508742999996,0,0,0
2078 Asoj,2021-09,10030,10028771,4347,9369678,204956,83350,15153463,1258586,1752,38,688606,60,103,60115,8299587,1167554,1289891,3510226,9212511,196415,30038,311580,13764982,58686,13565054,1515329,1063020,76357,0,0,0,3145711.3790160175,76537.10436048,832894.5763610089,200036.83561331392,239147.61282903,80386.13688178,1298.16830842,153.44493429,13343.715430600005,87732.27333388,1279.2518678200001,15186.856257850002,6097.214643939999,4845.288707119999,455.35705688999997,0,0,0
2078 Kartik,2021-10,10309,10239007,4377,9565024,207619,86063,15430379,1263883,1750,38,716112,59,103,55897,7262304,969918,961422,2760503,8075472,177648,33990,250177,12615637,62310,13030804,1387584,947928,76878,0,0,0,3642341.7885780307,62816.68265701001,702982.1948440295,137610.06087858797,203035.59937718,66298.67949061001,1177.7952031999998,192.80490486000002,11831.894504549999,78156.68001032,1315.033026,13948.861018830003,5362.44995105,4409.547838329999,443.1175993299999,0,0,0
2078 Mangsir,2021-11,10611,10419678.149525212,4384,9757919,210673,89231,15941535,1520600,1621,38,740361,59,104,61204,7034284,1128411,1396787,2895617,7752784,146029,31826,253245,13064684,59021,13088543,1649397,835845,60510,0,0,0,3477630.2330778497,59905.98587054999,736806.0384928379,147891.6920818196,228453.55364280002,65548.76322051,970.2866810099999,166.47850287,12734.905527149996,88531.42224228,1338.7571976,15527.645378584999,6282.2781829900005,3814.55364326,350.42461374999993,0,0,0
2078 Push,2021-12,11039,10711089,4417,9855221,215199,89456,16212468,1556331,1626,45,764031,60,106,64254,8458944,1184985,1661251,3145959,9298079,183571,45411,256228,13518936,53029,13712206,1918526,995037,71666,0,0,0,3680463.1902087247,69291.79041026003,765957.3185987232,167793.49631119412,247473.94310435996,72618.78873234,1125.0722194500001,295.02704613,13495.943468779995,94407.49965530999,1199.84046515,16275.613985439,6525.27642033,4396.13735265,348.92817615999996,0,0,0
2078 Magh,2022-01,11237,11011931,4431,10012907,216273,92341,16476700,1583253,1568,45,793151,60,106,57640,7548329,1005947,1293402,3140180,8224577,166022,45685,267358,13844710,60891,12957353,1782363,814400,72503,0,0,0,3133117.0672811656,62457.86862809001,641204.7467718095,143206.5470457738,236422.73577827998,64969.789410590005,935.69103279,313.89902028999995,12899.0344576,92767.50965411,1287.20589747,14535.883876897999,6892.351239420001,3413.4607077200003,346.23032635999994,0,0,0
2078 Falgun,2022-02,11488,11357393,4464,10238473,219946,95609,16849488,1609260,1553,45,817197,60,108,60573,8572620,1201363,925202,3339554,9319884,195878,45651,273699,15559970,67311,14033490,2307904,924476,62817,0,0,0,3692983.0460135443,69616.07560941,698348.992323225,165340.44883093718,273858.26205245,72599.44596343,1148.29305402,302.06712946,13739.43766279,107118.84186543,1468.74549557,16598.648001391997,7762.33799805,4082.8647063499993,348.02526803,0,0,0
2078 Chaitra,2022-03,12047,11719626,4472,10442985,227961,98683,17382448,1658184,1518,45,841092,60,108,65376,9148076,1225832,893627,3605430,10005010,209998,43912,274947,16459963,60866,14494893,2723586,1045301,64406,0,0,0,4343588.603392453,73365.55079645998,726731.2078928781,185070.0559765353,291295.78588011,76812.56409346,1253.9084270800001,279.51979446999997,13059.281974089998,115397.6651939,1341.0937639099998,15362.056848336,8941.8161386,4638.170569569999,340.06432198000005,0,0,0
2079 Baisakh,2022-04,12334,12095688,4512,10606549,230522,102584,17676259,1606829,1522,49,858410,60,108,60603,9538362,1065594,877000,3115088,10462608,215018,52273,252705,17791018,64162,14884701,3071843,1121020,68939,0,0,0,3997680.3310901676,76634.45192811999,598535.0915198954,147166.05847166662,259389.66324305,80192.37023625999,1244.77410098,360.55235604999996,11916.779195610003,113622.18317216002,1291.7569543700001,14660.0975397415,10191.032770939999,4726.312772790001,434.73525459999996,0,0,0
2079 Jestha,2022-05,12515,12826745,4581,10852736,234628,105634,17961063,1632611,1530,49,873996,60,110,72328,9422989,1139248,927792,3453370,10332633,218805,51896,255814,18020460,66784,15159536,3440573,1116243,62347,0,0,0,4050679.82113218,74139.50370846,588176.6766686956,160580.52934521,287545.55052332,77606.80371717998,1189.45145491,373.5363999599999,12155.908596239999,121962.49014081001,1447.16628748,15966.68288775,11015.313890139996,4599.5376072399995,427.50985871,0,0,0
2079 Asar,2022-06,12685,13675993,4602,10856357,238794,108641,18307255,1684310,1548,49,896341,59,111,81817,10169331,1486551,1322174,4270099,11127683,227920,57942,318598,20564308,69465,16206356,4281994,1173548,68944,0,0,0,4349056.027633213,79458.27998276001,850649.4438477079,275751.56081131764,369222.95901408,83200.14942336001,1490.11313446,457.99356107,15638.094478849998,163254.93062303003,1503.33845256,17751.830808360002,14525.96668115,5182.537558110001,504.43436052000004,0,0,0
2079 Saun,2022-07,12843,14094622,4636,11080950,250618,110854,18643834,1706869,1548,48,917543,59,112,77971,10985711,1061056,496924,3447758,11947667,232922,58095,299363,20018158,86118,15761340,4672056,1179355,71924,0,0,0,4372006.929281555,73462.12674296001,579657.6647805895,109550.21048248508,269140.17029652995,77211.59376965999,1377.76393081,429.6177419300001,13743.68903521,152560.84005310002,1650.91106376,17464.1602854,14816.87994456,5068.885494029999,484.46128278000003,0,0,0
2079 Bhadau,2022-08,12986,14525144,4661,11349362,258043,115685,18889430,1706091,1497,49,933875,59,112,72560,10071762,1010350,1094343,3821277,10977955,238910,65499,266435,20648268,63576,16205487,5205804,1132460,75863,0,0,0,3620751.6484319624,75745.52867188999,500308.8273961523,158118.4769775936,292544.63241694,79410.02920249,1473.53604866,417.82663829,12192.84889545,146143.18446493003,1394.06514705,17634.933322760004,15028.208048139999,5131.51709151,419.94384412,0,0,0
2079 Asoj,2022-09,13038,14839820,4664,11557174,262945,118942,19102652,1719733,1500,49,946293,59,112,64525,10028183,945683,967944,4013396,11037897,236839,65428,248622,20909361,73273,15703042,4770249,1236424,73282,0,0,0,3224481.8992560883,88895.90603664,501470.00000414025,172363.18382495048,307275.4372694,93142.88393747999,1541.97768766,435.85612382,11958.708312930006,162137.49992071002,1487.6400305600002,16568.21160305,17336.910481630006,5798.165354770001,422.27940563,0,0,0
2079 Kartik,2022-10,13075,15133735,4696,11738973,269476,122641,19403680,1750936,1420,50,958250,59,113,59340,9226589,852428,1102013,3645595,9994341,243900,59819,234107,20508029,63352,15519743,4612307,968633,100458,0,0,0,2749056.70998183,78275.11343232999,428304.78764725436,122865.1863961964,279892.76614679006,81848.28416718,1620.3279113,393.05931448,11704.651618269994,151986.63976920999,1294.9178391399998,17226.676871636,16144.249163949999,4916.98335588,663.3489701199999,0,0,0
2079 Mangsir,2022-11,13230,15502133,4739,11927774,270156,126667,19766415,1770937,1424,50,974543,59,114,63016,9203297,912079,1647824,3827686,9912250,208040,54669,243008,21635431,58036,16892925,5109631,892611,76811,0,0,0,2436540.71056244,75224.07879125999,439593.7137744727,153038.3116580868,298285.75580221997,78463.38409195999,1368.3003388799998,341.35037122999995,11475.66656293,160036.47172725998,1273.50658021,17729.64856766,19346.01906351,4458.87390729,482.35735909000005,0,0,0
