date_bs,date_ad,PSP_Agents,Wallet_Users,ATM_Machines,Debit_Cards,Credit_Cards,Prepaid_Cards,Mobile_Banking_Customers,Internet_Banking_Customers,Branchless_Banking,RTGS_Participants,ConnectIPS_Users,ECC_Members,IPS_Members,RTGS_Count,ATM_Cash_Withdrawal_Count,ECC_Count,IPS_Count,ConnectIPS_Count,Debit_Card_Count,Credit_Card_Count,Prepaid_Card_Count,Internet_Banking_Count,Mobile_Banking_Count,Branchless_Banking_Count,Wallet_Count,QR_Count,POS_Count,Ecommerce_Count,Faster_Payment_Count,Cross_Border_QR_Count,Other_Retail_Count,RTGS_Value,ATM_Cash_Withdrawal_Value,ECC_Value,IPS_Value,ConnectIPS_Value,Debit_Card_Value,Credit_Card_Value,Prepaid_Card_Value,Internet_Banking_Value,Mobile_Banking_Value,Branchless_Banking_Value,Wallet_Value,QR_Value,POS_Value,Ecommerce_Value,Faster_Payment_Value,Cross_Border_QR_Value,Other_Retail_Value
2081 Bhadau,2024-08,17521,24264481,5205,13097125,293618,196716,25207122,1986817,1109,44,1315148,54,132,67105,11279117,958665,1283243,6856885,12130640,285042,134775,373051,43149869,63765,29133148,21575152,1112900,157573,13245208,37393,6393899,6412444.6858656695,87611.13251833002,471841.75129861163,204570.7271275353,531464.87192625,91635.22657592004,1962.9305390900001,1325.07379239,19949.44283174,364276.6156707,1446.22746144,40339.54429128,61394.97238320999,6080.318366099999,1230.1974742800003,399339.53015172004,104.9698805,344793.72175709
2081 Asoj,2024-09,17675,24596090,5220,13161459,296864,202934,25524189,2026524,1100,44,1327467,54,132,64407,11999048,999267,4273208,7494136,12889052,275474,132104,355939,44048146.112,75148,28925434,20497044.42,1144819,151941,13571044,43906,7172053,4681271.8720243005,103915.09490514998,490115.1350502648,277971.21644080314,617299.0122084001,108328.76524961999,1930.15243169,929.7485769900001,17266.73580363,401241.36994260043,1512.3799130999998,40548.470409117996,70428.40063723242,6417.6863512,853.7208369299999,405628.5948244801,139.42909763999998,445365.64318297006
2081 Kartik,2024-10,17406,24901766,5224,13245840,299153,206786,25758242,2057438,1089,44,1339021,54,133,59304,10149800,829175,1649010,0,10938265,276174,120299,343040,43982284,67886,28500746,19311445,1025058,159070,12276222,50455,5729521,7819869.138859879,90565.69414975998,439984.9769278632,163321.31159124698,0,94576.34202794998,2018.0845848100005,804.3958658699999,16376.230506419994,374664.72888639,1380.22866111,37316.673010608,66870.64177137,5928.74995518,901.4153266899999,371725.98381390003,155.69255471,317835.38206634996
2081 Mangsir,2024-11,17503,25662090,5227,13218192,300496,214213,26034354,2088831,1071,44,1350769,54,134,63509,10221049,955201,1344822,0,11036656,270366,132531,361374,47446948,61767,32296076,23342684,1039678,177912,12894612,56712,6558746,5294271.414291181,86649.14386222002,459745.26738096477,189784.8428564587,0,90780.35766405,1974.77372557,992.8618324500001,17645.578454450002,388440.99689789995,1473.70825534,40785.221027275,72290.74145058998,5979.016481590001,1116.3596296,405038.58197563,192.92837004,382080.20626645995
2081 Push,2024-12,17734,25580184,5229,13363174,306605,219697,26336117,2118384,1065,44,1364988,54,134,69209,10377362,1064751,2972998,0,11147107,269168,130154,378545,48988716,69303,32264400,24517076,999938,167333,13409750,89186,7191989,5301032.8364065895,87519.96191071998,534968.1096819744,231276.16906080468,0,91458.55098336999,2045.5890604299998,1200.01453084,17587.264426350008,398382.2173561601,1549.93991954,40560.481806095,73225.43101288,5933.52620828,1246.54768823,410992.434377,314,425188.37745932
2081 Magh,2025-01,455467,25851333,5235,13457625,308423,228858,26573072,2141604,1028,44,1377776,54,136,67538,10250604,1005833,3359530,0,10790815,251555,139427,391405,50984022,83501,33089210,26306975,761019,169193,13799096,73601,7244423,3856393.17285005,86478.18659177,491219.0270603011,216065.13901499557,0,88799.20157845,1850.50942846,1054.52841186,18249.888206450003,407932.21584146004,1728.96353652,41211.506265136,77908.96848695,4144.59491013,1078.8095630899998,418149.293763063,260.28003294,395508.0033917299
2081 Falgun,2025-02,423869,25987098,5242,13480427,309289,232340,26757194,2141423,1006,44,1390595,54,137,66146,10288695,978609,1869973,0,11050499,253273,128987,410724,51232748,70138,33554239,27022715,976241,166503,14570625,81179,7071243,4459381.10734942,87576.80564337,465104.0175264211,218285.730531204,0,91400.75674972999,1830.7640395000003,859.339717,18259.742170169997,415784.60349299,1602.8487906500002,41738.530895147,80193.77148174998,5635.558453969999,874.7059963400001,434371.45863967,204.68582707000002,410196.16506279
2081 Chaitra,2025-03,422316,26307110,5262,13589225,313223,237107,27012002,2173746,974,44,1403504,54,137,76318,11097969,1107919,3341871,0,11923886,277625,141752,435619,56191717,71582,36608865,31327512,1056472,187505,15762416,101283,7990308,4704595.0654196,93845.38085444999,549557.0024186568,265409.56688882026,0,98036.36891156998,2045.7157037700001,993.5461035699999,19345.042638159997,450453.38820567005,1611.0895766800002,43916.23477298099,90880.00068698001,6058.441645059998,1168.0736631599998,470647.9116785901,251.69581736,468900.18922821997
2082 Baisakh,2025-04,424978,26734011,5266,13531550,306793,240587,27263391,2128991,951,44,1414686,54,137,71526,11309115,1087454,2504002,0,12271523,288839,134528,456350,57371215,85758,37664426,33756696,1087761,180273,15764151,116129,8275936,6108824.09683587,95987.44773928999,520338.3138032939,244389.0967973131,0,101415.15861620998,2049.55159551,998.3997300799999,20655.099900010002,456953.84871054,1867.7876546700002,44872.050305503995,96232.01650772999,6107.545681969998,1217.8828445099998,472663.713526373,296.87335868,466556.66953788
2082 Jestha,2025-05,424525,27064769,5265,13592014,314453,246973,27464996,2179983,880,44,1426579,54,137,71099,10554290,1114552,1265606,0,11403507,287084,151061,482224,57777843,67855,37822921,35146038,1086728,199334,15794223,150228,8323631,6249746.66287803,87577.93872,547056.3206280059,257854.3899302414,0,91670.92895258,2020.2192714400003,1020.2391301400002,20639.208321510003,452286.60578526004,1564.64528927,42886.407783416,93475.39210395,5877.857190740001,1251.5243525300002,469018.93795260997,403.3704451400001,492167.74267008994
2082 Asar,2025-06,427787,26765660,5263,13665792,318428,250695,27741284,2219341,822,44,1441471,54,139,91581,11078861,1478268,5441164,0,11971300,287985,152769,564047,65500157,82400,40190678,40236413,1136419,196326,17985607,155304,11074300,9210904.967112621,93111.04567533,787116.6990699889,468240.458996035,0,97632.94984763999,2221.9711996200003,1327.8848868999999,25334.95223852001,530284.77412585,1813.03730018,48441.294154020004,113195.96180455001,6603.755683040001,1466.28501969,562699.2253606371,446.94213772,704934.85303538
2082 Saun,2025-07,436699,24439439,5264,13661821,318637,256161,27988708,2250772,816,44,1460804,54,142,68912,10341193,948806,1161177,0,10960119,297868,159159,558326,63174594,81793,39688203,40928768,1150156,214812,16888706,133107,8502845,9313057.908794269,83206.44042602001,529659.1321563749,198052.845467987,0,85834.2562398,2148.24139796,1476.9212163000002,22773.90775505,474944.0812360699,1690.7527625900002,45448.90071445999,100675.46388407999,6735.029636350001,1662.77046494,467480.46320077404,373.39060344,394596.99398029
